Wall time,Step,Value
1747086667.000561,0,2.0
1747086670.0630853,1,2.5
1747086672.493784,2,2.3333332538604736
1747086675.5959296,3,2.75
1747086677.1820548,4,2.200000047683716
1747086679.3291605,5,2.0
1747086681.5033798,6,1.8571428060531616
1747086683.7811859,7,1.75
1747086685.3289337,8,1.5555555820465088
1747086687.176701,9,1.5
1747086689.78712,10,1.545454502105713
1747086691.7656887,11,1.5
1747086693.7822168,12,1.4615384340286255
1747086697.0625262,13,1.6428571939468384
1747086699.0699697,14,1.600000023841858
1747086701.0877547,15,1.5
1747086703.4659467,16,1.470588207244873
1747086705.9324672,17,1.5
1747086707.9608476,18,1.4736841917037964
1747086710.0453458,19,1.4500000476837158
1747086711.6381583,20,1.3809523582458496
1747086713.4008245,21,1.3181818723678589
1747086716.1356351,22,1.3478261232376099
1747086717.7321854,23,1.2916666269302368
1747086719.4360723,24,1.2400000095367432
1747086723.1104848,25,1.3461538553237915
1747086725.2256577,26,1.3333333730697632
1747086729.054537,27,1.3571428060531616
1747086732.0887346,28,1.3103448152542114
1747086734.548271,29,1.2999999523162842
1747086736.8903074,30,1.3225806951522827
1747086738.5763412,31,1.28125
1747086740.4319437,32,1.2727272510528564
1747086742.3711247,33,1.2647058963775635
1747086744.153803,34,1.2571429014205933
1747086747.7523472,35,1.3333333730697632
1747086750.316848,36,1.3513513803482056
1747086752.2657647,37,1.3421052694320679
1747086754.2877648,38,1.3333333730697632
1747086756.3230164,39,1.3250000476837158
1747086757.9306858,40,1.2926828861236572
1747086759.7020833,41,1.2619047164916992
1747086761.4363768,42,1.2325581312179565
1747086763.0027244,43,1.204545497894287
1747086765.4103348,44,1.2000000476837158
1747086767.0785885,45,1.1739130020141602
1747086769.902818,46,1.191489338874817
1747086772.165465,47,1.2083333730697632
1747086775.1755369,48,1.2448979616165161
1747086776.714591,49,1.2200000286102295
1747086778.6231651,50,1.1799999475479126
1747086781.3006456,51,1.159999966621399
1747086783.90352,52,1.159999966621399
1747086785.9926355,53,1.100000023841858
1747086787.67935,54,1.100000023841858
1747086789.4971223,55,1.0800000429153442
1747086791.776764,56,1.0800000429153442
1747086794.2286754,57,1.100000023841858
1747086796.4064238,58,1.1200000047683716
1747086798.5512934,59,1.1200000047683716
1747086801.0511453,60,1.1200000047683716
1747086802.6929893,61,1.100000023841858
1747086804.4130275,62,1.0800000429153442
1747086806.7246392,63,1.0399999618530273
1747086808.6500378,64,1.0399999618530273
1747086810.8340545,65,1.059999942779541
1747086812.3098829,66,1.0399999618530273
1747086815.6401267,67,1.0800000429153442
1747086817.0832715,68,1.059999942779541
1747086818.9798052,69,1.059999942779541
1747086822.543532,70,1.159999966621399
1747086824.7890537,71,1.1799999475479126
1747086826.5050666,72,1.1399999856948853
1747086828.6500754,73,1.159999966621399
1747086831.701468,74,1.2200000286102295
1747086833.4798613,75,1.1399999856948853
1747086835.3622258,76,1.1200000047683716
1747086836.9320357,77,1.0800000429153442
1747086839.546498,78,1.1200000047683716
1747086841.2256258,79,1.100000023841858
1747086842.9339888,80,1.059999942779541
1747086844.8706207,81,1.059999942779541
1747086846.5223033,82,1.0399999618530273
1747086848.3834143,83,1.0399999618530273
1747086850.026024,84,1.0199999809265137
1747086851.8059044,85,0.9599999785423279
1747086854.1048677,86,0.9399999976158142
1747086855.7338796,87,0.9200000166893005
1747086857.391494,88,0.8999999761581421
1747086859.0866373,89,0.8799999952316284
1747086860.7510967,90,0.8799999952316284
1747086862.3230286,91,0.8799999952316284
1747086863.955344,92,0.8799999952316284
1747086866.6393323,93,0.8999999761581421
1747086870.8679593,94,0.9800000190734863
1747086872.6354613,95,0.9800000190734863
1747086875.796531,96,1.0
1747086877.3936388,97,0.9599999785423279
1747086879.9051008,98,0.9399999976158142
1747086882.2954967,99,0.9599999785423279
1747086885.2897623,100,1.0199999809265137
1747086887.9916487,101,1.0199999809265137
1747086889.7432587,102,0.9800000190734863
1747086891.8231556,103,0.9800000190734863
1747086894.8676836,104,1.0399999618530273
1747086896.4946601,105,1.0399999618530273
1747086900.0032215,106,1.100000023841858
1747086902.203169,107,1.0800000429153442
1747086903.8873906,108,1.059999942779541
1747086905.4639642,109,1.0399999618530273
1747086907.4548056,110,1.0199999809265137
1747086909.7776425,111,1.059999942779541
1747086911.976608,112,1.0800000429153442
1747086913.6574175,113,1.0399999618530273
1747086915.613694,114,1.0199999809265137
1747086917.5758145,115,1.0199999809265137
1747086920.1083543,116,1.059999942779541
1747086922.3726223,117,1.0
1747086924.7232919,118,1.0399999618530273
1747086926.646956,119,1.0199999809265137
1747086928.6507745,120,0.9399999976158142
1747086931.0814257,121,0.9399999976158142
1747086933.5994184,122,0.9800000190734863
1747086935.9100435,123,0.9800000190734863
1747086939.0274894,124,0.9800000190734863
1747086941.5394068,125,1.0199999809265137
1747086943.6915708,126,1.059999942779541
1747086945.6956935,127,1.0800000429153442
1747086948.623383,128,1.059999942779541
1747086951.1553748,129,1.100000023841858
1747086952.8242493,130,1.100000023841858
1747086955.0570142,131,1.1399999856948853
1747086957.8751507,132,1.2000000476837158
1747086960.7178285,133,1.2400000095367432
1747086962.9599981,134,1.2799999713897705
1747086965.0397525,135,1.2799999713897705
1747086967.2631385,136,1.2999999523162842
1747086969.344171,137,1.3200000524520874
1747086971.213322,138,1.340000033378601
1747086973.7492464,139,1.3799999952316284
1747086976.041838,140,1.4199999570846558
1747086978.4521863,141,1.4600000381469727
1747086980.0771663,142,1.4600000381469727
1747086983.6630125,143,1.5199999809265137
1747086986.7637234,144,1.4600000381469727
1747086988.6033096,145,1.4600000381469727
1747086991.454458,146,1.440000057220459
1747086994.481602,147,1.5
1747086997.11533,148,1.4800000190734863
1747086999.457625,149,1.5
1747087001.8053684,150,1.4600000381469727
1747087004.9602003,151,1.4800000190734863
1747087006.9179833,152,1.5
1747087008.85507,153,1.5
1747087012.2225592,154,1.5
1747087014.6015666,155,1.5199999809265137
1747087017.47062,156,1.4800000190734863
1747087020.0660605,157,1.4800000190734863
1747087021.7331119,158,1.4800000190734863
1747087024.5703118,159,1.5199999809265137
1747087026.6069527,160,1.5199999809265137
1747087031.4959342,161,1.5800000429153442
1747087033.5648978,162,1.5800000429153442
1747087035.7445202,163,1.600000023841858
1747087038.0011783,164,1.6200000047683716
1747087040.0067844,165,1.600000023841858
1747087043.5291288,166,1.6399999856948853
1747087045.8217843,167,1.6399999856948853
1747087047.8326402,168,1.6200000047683716
1747087049.8332675,169,1.6200000047683716
1747087054.1028895,170,1.7200000286102295
